Amazon store,Start date,End date,Parent ASIN,ASIN,FNSKU,MSKU,Currency code,Average sales price,Units sold,Units returned,Net units sold,Sales,Net sales,Base fulfilment fee per unit,Base fulfilment fee quantity,Base fulfilment fee total,FBA Weight Handling Fee per unit,FBA Weight Handling Fee quantity,FBA Weight Handling Fee total,FBA fulfilment fees per unit,FBA fulfilment fees quantity,FBA fulfilment fees total,FBA removal order fee per unit,FBA removal order fee quantity,FBA removal order fee total,FixedClosingFee per unit,FixedClosingFee quantity,FixedClosingFee total,Inbound transportation charge per unit,Inbound transportation charge quantity,Inbound transportation charge total,Referral fee per unit,Referral fee quantity,Referral fee total,RefundCommissionFee per unit,RefundCommissionFee quantity,RefundCommissionFee total,Sponsored Products charge per unit,Sponsored Products charge quantity,Sponsored Products charge total,Cost of goods sold per unit,Miscellaneous cost per unit,Net proceeds total,Net proceeds per unit
IN,03/25/2024,09/24/2024,B0BY4N8VBM,B0BY4N8VBM,,Arm_B_L/XL,INR,799,116,21,95,56625.4497,46363.1497,77,,,,,,,,,,,,30,112,1292.1,19.25,,,119.85,112,6567.61,82.6,18,1486.8,8.96,1337,11975.47,240,,25041.1697,221.34
IN,03/25/2024,09/24/2024,B0B8Z31FG6,B0B8Z31FG6,,GB-AL-ME-L/XL_FBA,INR,506.32,114,13,101,57719.9596,51307.8596,16.52,20,330.4,58.69,20,1173.76,16.52,20,330.4,,,,11.55,114,1316.88,1.83,20,36.6726,68.16,114,7769.91,82.6,12,991.2,19.79,514,10173.65,,,29515.387,292.23
IN,03/25/2024,09/24/2024,B0BY4R9CPR,B0BY4R9CPR,,Arm_B_S/SM,INR,500.58,97,15,82,48555.79,41178.19,16.52,56,925.12,64.43,56,3608.12,16.52,56,925.12,,,,13.35,99,1321.6,1.33,83,110.2494,63.96,97,6203.8,82.6,15,1239,9.75,1922,18741,,,9029.3006,110.11
IN,03/25/2024,09/24/2024,B0B8Z31FG6,B0B8Z31FG6,,BAL GAL L/XL FBA,INR,498.94,85,8,77,42410.1799,38484.0899,16.52,11,181.72,60.18,11,661.98,16.52,11,181.72,,,,11.55,84,969.96,1.83,20,36.6726,64.5,84,5418.22,82.6,5,413,24.69,366,9035.12,,,21767.4173,282.69
IN,03/25/2024,09/24/2024,B0BY4QV6CH,B0BY4QV6CH,,Arm_G_S/SM,INR,486.99,72,12,60,35063,29125.95,16.52,32,528.64,61.05,32,1953.58,16.52,32,528.64,,,,12.73,77,980.58,4.28,25,107.111,60.99,72,4391.12,82.6,12,991.2,6.37,2872,18293.63,,,1880.089,31.33
IN,03/25/2024,09/24/2024,B0BY4R9CPR,B0BY4R9CPR,,BAS_S/M_FBA,INR,520.13,66,17,49,34328.8997,26082.0097,,,,,,,,,,,,,11,66,725.7,,,,57.4,66,3788.55,82.6,9,743.4,9.24,613,5665.78,,,15158.5797,309.36
IN,03/25/2024,09/24/2024,B0BJPY1427,B0BJPY1427,,Black -Armsleeve,INR,488.47,57,13,44,27843,21410.95,,,,,,,,,,,,,10.74,57,612.42,,,,72.81,57,4150.15,82.6,9,743.4,7.1,1384,9828.49,,,6076.49,138.1
IN,03/25/2024,09/24/2024,B0BY4Q79NV,B0BY4Q79NV,,Arm_G_L/XL,INR,479.45,55,13,42,26369.5,19943.96,16.52,6,99.12,66.08,6,396.48,16.52,6,99.12,,,,11.15,53,591.18,2.48,20,49.5679,61.09,53,3237.59,82.6,4,330.4,7.36,2797,20579.75,,,-5340.1279,-127.15
IN,03/25/2024,09/24/2024,B0BY4RY4JS,B0BY4RY4JS,,calf_G_L/XL,INR,537.85,48,11,37,25817,19529,,,,,,,,,,,,,16.95,47,796.5,,,,84.21,47,3957.71,95.71,9,861.4,21.74,248,5390.44,,,8522.95,230.35
IN,03/25/2024,09/24/2024,B0BY4WQL6B,B0BY4WQL6B,,calf_G_S/M,INR,507.56,45,6,39,22840,19871.9,,,,,,,,,,,,,11.72,45,527.46,,,,65.36,45,2941.31,82.6,5,413,17.7,587,10390.67,,,5599.46,143.58
IN,03/25/2024,09/24/2024,B0BY4Q2869,B0BY4Q2869,,Arm_T_L/XL,INR,486.39,44,10,34,21401,16462.9,,,,,,,,,,,,,12.6,43,541.62,,,,69.1,43,2971.49,82.6,5,413,5.81,1346,7823.93,,,4712.86,138.61
IN,03/25/2024,09/24/2024,B0C65YFTTL,B0C65YFTTL,,BG-AS-S/M,INR,815.12,44,7,37,35865.2006,30606.9506,,,,,,,,,,,,,38.73,44,1703.92,,,,169.86,44,7473.7,112.1,6,672.6,9.07,762,6911.36,,,13845.3706,374.2
IN,03/25/2024,09/24/2024,B09JSDSL58,B09JSDSL58,,BAL TAL S/M FBA,INR,516.77,41,4,37,21187.52,19192.52,,,,,,,,,,,,,10.79,41,442.5,,,,73.87,41,3028.71,82.6,4,330.4,22.1,39,861.94,,,14528.97,392.67
IN,03/25/2024,09/24/2024,B0C6DHZ5QW,B0C6DHZ5QW,,GG-AS-S/M,INR,782.05,41,11,30,32063.96,23526.96,16.52,13,214.76,71.62,13,931.02,16.52,13,214.76,,,,33.53,41,1374.7,1.56,10,15.6241,162.96,41,6681.26,112.1,6,672.6,8.42,1931,16259.26,,,-2622.2641,-87.41
IN,03/25/2024,09/24/2024,B0BY4N8VBM,B0BY4N8VBM,,BAS_L/XL_FBA,INR,477.78,39,13,26,18633.23,12371.62,16.52,1,16.52,74.34,1,74.34,16.52,1,16.52,11.8,1,11.8,10.72,37,396.48,,,,62.8,37,2323.56,82.6,7,578.2,7.27,54,392.82,,,8577.9,329.92
IN,03/25/2024,09/24/2024,B0BJPXHLR9,B0BJPXHLR9,,Grey -Armsleeve,INR,497.72,39,9,30,19411,14926,16.52,13,214.76,68.62,13,892.08,16.52,13,214.76,11.8,2,23.6,12.71,39,495.6,2.36,10,23.5644,66.02,39,2574.7,82.6,9,743.4,7.12,1122,7985.55,,,1972.7456,65.76
IN,03/25/2024,09/24/2024,B0BJQ24TCJ,B0BJQ24TCJ,,Tealblue -Armsleeve,INR,483.56,36,6,30,17408,14567.9,,,,,,,,,,,,,11.63,35,407.1,,,,61.13,35,2139.39,82.6,3,247.8,8.49,1242,10545.08,,,1228.53,40.95
IN,03/25/2024,09/24/2024,B0C663ZJLF,B0C663ZJLF,,BG-AS-L/XL,INR,789.29,35,8,27,27625.2801,21393.2801,16.52,7,115.64,74.34,7,520.38,16.52,7,115.64,11.8,1,11.8,34.22,35,1197.7,1.56,10,15.6241,169.9,35,5946.54,112.1,5,560.5,8.49,830,7044.67,,,5980.426,221.5
IN,03/25/2024,09/24/2024,B0BY4V1VLX,B0BY4V1VLX,,BCS_S/M_FBA,INR,504.85,34,5,29,17165,14470,16.49,34,560.5,68.96,34,2344.66,16.49,34,560.5,11.8,23,271.4,14.62,33,482.62,1.86,15,27.9205,65.56,34,2229.1,89.97,4,359.9,13.51,113,1526.22,,,6667.6795,229.92
IN,03/25/2024,09/24/2024,B0BY4N8VBM,B0BY4N8VBM,,Arm_B_L/XL FBA,INR,508.37,32,7,25,16268,12775,16.52,32,528.64,64.72,32,2070.92,16.52,32,528.64,,,,14.61,34,496.78,1.09,25,27.1994,58.79,32,1881.38,82.6,1,82.6,9.86,269,2652.45,,,5035.0306,201.4
IN,03/25/2024,09/24/2024,B0C6DN9LNH,B0C6DN9LNH,,BB-AS-L/XL,INR,763.7,31,10,21,23674.71,15925.61,,,,,,,,,,,,,35.4,30,1062,,,,162.86,30,4885.72,112.1,9,1008.9,9.13,586,5348.26,,,3620.73,172.42
IN,03/25/2024,09/24/2024,B0BY4TVS1G,B0BY4TVS1G,,BS_L/XL_FBA,INR,501.22,31,12,19,15537.9,9150.9,16.35,27,441.32,61.59,27,1663.04,16.35,27,441.32,11.8,2,23.6,15.68,31,486.16,1.88,15,28.1979,63.8,29,1850.13,85.55,10,855.5,13.8,138,1904.41,,,1898.5421,99.92
IN,03/25/2024,09/24/2024,B09LHM8YNY,B09LHM8YNY,,BAL GAL S/M FBA,INR,496.34,27,6,21,13401.19,10467.09,16.52,11,181.72,59.11,11,650.18,16.52,11,181.72,,,,12.32,27,332.76,1.81,20,36.2644,72.79,27,1965.28,82.6,3,247.8,14.8,68,1006.71,,,6046.3756,287.92
IN,03/25/2024,09/24/2024,B0BKQ1RR9M,B0BKQ1RR9M,,Crew Length_Black_L/XL,INR,392.33,27,6,21,10593,8313.95,,,,,,,,,,,,,10.75,27,290.28,,,,58.97,27,1592.21,82.6,3,247.8,9.81,23,225.58,,,5958.08,283.72
IN,03/25/2024,09/24/2024,B09LHM8YNY,B09LHM8YNY,,GB-AL-ME,INR,489.65,27,3,24,13220.64,11727.64,16.52,11,181.72,58.89,11,647.82,16.52,11,181.72,,,,12.12,26,315.06,1.81,10,18.1322,73.74,26,1917.31,82.6,1,82.6,17.46,98,1710.78,,,6854.2178,285.59
IN,03/25/2024,09/24/2024,B0C6DHV34Y,B0C6DHV34Y,,GG-AS-L/XL,INR,691.51,26,6,20,17979.1902,13687.2902,,,,,,,,,,,,,35.4,24,849.6,,,,152.74,24,3665.67,112.1,4,448.4,7.99,462,3693.61,,,5030.0102,251.5
IN,03/25/2024,09/24/2024,B0C6622KD6,B0C6622KD6,,TG-AS-L/XL,INR,797.18,26,6,20,20726.7401,16067.7401,,,,,,,,,,,,,35.4,26,920.4,,,,163.22,26,4243.63,112.1,4,448.4,9.31,607,5653.7,,,4801.6101,240.08
IN,03/25/2024,09/24/2024,B0C6DJ1C2H,B0C6DJ1C2H,,BB-AS-S/M,INR,797.02,25,8,17,19925.5703,13732.5203,,,,,,,,,,,,,35.4,25,885,,,,160,25,3999.88,112.1,6,672.6,8.53,620,5285.84,,,2889.2003,169.95
IN,03/25/2024,09/24/2024,B0BY4Q79NV,B0BY4Q79NV,,GAS_L/XL,INR,478.08,25,6,19,11952,8988.9,,,,,,,,,,,,,10.62,24,254.88,,,,45.7,24,1096.83,82.6,5,413,7.86,95,746.69,,,6477.5,340.92
IN,03/25/2024,09/24/2024,B09JSFYQ2Y,B09JSFYQ2Y,,TG-AL-ME,INR,511.63,25,6,19,12790.66,9821.66,,,,,,,,,,,,,11.04,25,276.12,,,,76.45,25,1911.18,82.6,5,413,12.41,50,620.26,,,6601.1,347.43
IN,03/25/2024,09/24/2024,B09CDH8LPW,B09CDH8LPW,,GKL-ME,INR,805.18,24,12,12,19324.3299,9992.3399,,,,,,,,,,,,,35.4,24,849.6,,,,167.63,24,4023.01,112.1,10,1121,14.8,319,4722.23,,,-723.5001,-60.29
IN,03/25/2024,09/24/2024,B09JSDSL58,B09JSDSL58,,BT-AL-ME,INR,492.48,23,5,18,11327,8847,16.52,5,82.6,64.43,5,322.14,16.52,5,82.6,,,,11.7,23,269.04,1.85,5,9.2544,74.72,23,1718.63,82.6,2,165.2,16.78,116,1946.31,,,4333.8256,240.77
IN,03/25/2024,09/24/2024,B0BY4RWPG7,B0BY4RWPG7,,calf_T_S/M,INR,527.57,21,11,10,11079,5214.95,,,,,,,,,,,,,14.16,21,297.36,,,,74.28,21,1559.95,86.81,7,607.7,15.14,519,7858.74,,,-5108.8,-510.88
